,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description,Wind Speed
279,Asfi,MA,32.2994,-9.2372,67.77,91,0,clear sky,13.96
280,Saint George,US,37.1041,-113.5841,89.64,28,0,clear sky,8.99
281,Santo Antonio Do Ica,BR,-3.1022,-67.9397,72.01,97,80,broken clouds,1.59
282,Fortuna,US,40.5982,-124.1573,61.92,90,100,overcast clouds,3.44
283,Blagoyevo,RU,63.3667,47.9167,76.44,50,20,few clouds,9.66
284,Namibe,AO,-15.1961,12.1522,59.94,90,1,clear sky,7.94
285,Corcoran,US,36.098,-119.5604,84.58,37,0,clear sky,6.64
286,Atbasar,KZ,51.8,68.3333,76.78,40,52,broken clouds,9.66
287,North Myrtle Beach,US,33.816,-78.68,78.85,94,0,clear sky,3.44
288,Mudgee,AU,-32.5943,149.5871,55.78,71,72,broken clouds,7.81
289,Vostok,RU,46.4856,135.8833,80.6,50,98,overcast clouds,4.76
290,Tautira,PF,-17.7333,-149.15,75.72,72,82,broken clouds,25.55
291,Denpasar,ID,-8.65,115.2167,82.06,83,75,broken clouds,8.05
292,Tessalit,ML,20.1986,1.0114,84.92,46,14,few clouds,11.3
293,Hambantota,LK,6.1241,81.1185,84.54,79,40,scattered clouds,11.5
294,Ngora,UG,1.4314,33.7772,68.38,71,90,overcast clouds,2.91
295,Pio Xii,BR,-3.8325,-45.1525,71.08,98,49,scattered clouds,3.29
296,Lompoc,US,34.6391,-120.4579,63.01,86,0,clear sky,21.0
297,Panguipulli,CL,-39.6333,-72.3333,37.17,99,100,moderate rain,2.89
298,Saint-Louis,SN,16.3333,-15.0,83.3,69,70,light rain,9.73
299,Qaqortoq,GL,60.7167,-46.0333,42.96,92,70,broken clouds,2.53
300,Kysyl-Syr,RU,63.8986,122.7617,51.58,98,100,light rain,10.54
301,Tura,IN,25.5198,90.2201,88.48,59,74,broken clouds,2.24
302,Bubaque,GW,11.2833,-15.8333,77.07,90,100,light rain,12.93
303,Akyab,MM,20.15,92.9,84.97,75,89,overcast clouds,15.57
304,Katherine,AU,-14.4667,132.2667,97.12,26,40,scattered clouds,9.22
305,Itoigawa,JP,37.0333,137.85,92.01,64,84,broken clouds,2.37
306,Tlacojalpan,MX,18.2333,-95.95,73.45,94,98,overcast clouds,6.06
307,Muriwai Beach,NZ,-36.8167,174.45,55.42,96,100,moderate rain,8.93
308,Faya,SA,18.3851,42.4509,66.31,63,99,overcast clouds,4.14
309,Marfino,RU,55.7028,37.3822,77.14,59,0,clear sky,6.71
310,Dicabisagan,PH,17.0818,122.4157,85.37,72,100,heavy intensity rain,8.93
311,Nacala,MZ,-14.5428,40.6728,69.31,81,3,clear sky,9.04
312,Nakamura,JP,32.9833,132.9333,87.58,70,74,broken clouds,4.99
313,Buluang,PH,13.3068,123.3425,76.14,94,100,overcast clouds,3.4
314,Makakilo City,US,21.3469,-158.0858,79.12,70,75,light rain,8.05
315,Cayenne,GF,4.9333,-52.3333,76.08,1,0,clear sky,1.14
316,Pochutla,MX,15.7432,-96.4661,77.83,93,86,overcast clouds,2.95
317,Ippy,CF,6.2679,21.2247,68.58,97,100,overcast clouds,1.86
318,Arraial Do Cabo,BR,-22.9661,-42.0278,69.69,81,95,overcast clouds,17.0
319,Leh,IN,34.1667,77.5833,67.89,46,15,few clouds,6.02
320,Dongsheng,CN,39.8161,109.9776,82.99,43,56,broken clouds,7.09
321,Kyela,TZ,-9.5833,33.85,66.2,58,0,clear sky,2.21
322,Tuatapere,NZ,-46.1333,167.6833,39.94,77,92,overcast clouds,5.73
323,Sabinopolis,BR,-18.6661,-43.0839,59.18,98,6,clear sky,3.76
324,Eyl,SO,7.9803,49.8164,79.54,56,68,broken clouds,26.33
325,Beitbridge,ZW,-22.2167,30.0,64.9,45,29,scattered clouds,2.42
326,Bristol,US,41.8334,-71.1662,78.42,77,0,clear sky,6.91
327,Guerrero Negro,MX,27.9769,-114.0611,71.74,87,72,broken clouds,9.69
328,Champerico,GT,14.3,-91.9167,75.36,94,99,overcast clouds,10.92
329,Grindavik,IS,63.8424,-22.4338,50.47,93,100,overcast clouds,14.97
330,Narsaq,GL,60.9167,-46.05,44.82,90,78,broken clouds,2.82
331,Esmeraldas,BR,-19.7625,-44.3139,67.06,72,85,overcast clouds,7.7
332,Praia,CV,14.9215,-23.5087,79.34,94,40,scattered clouds,8.05
333,Pervomayskoye,RU,43.919,46.7102,74.7,69,93,light rain,10.13
334,Boquete,PA,8.7833,-82.4333,65.07,97,100,overcast clouds,1.3
335,Taybad,IR,34.74,60.7756,88.18,16,0,clear sky,18.32
336,Great Yarmouth,GB,52.6083,1.7305,56.41,84,42,scattered clouds,7.54
337,Chokurdakh,RU,70.6333,147.9167,55.18,41,98,overcast clouds,11.12
338,Tiarei,PF,-17.5333,-149.3333,75.22,73,56,broken clouds,28.48
339,Santa Ana,US,33.7456,-117.8678,82.92,69,0,clear sky,4.61
340,Sola,VU,-13.8833,167.55,80.6,75,20,few clouds,13.44
341,Prince Rupert,CA,54.3161,-130.3201,64.49,83,100,overcast clouds,6.91
342,Henties Bay,NA,-22.116,14.2845,55.69,90,45,scattered clouds,6.98
343,Tibacuy,CO,4.3511,-72.4564,71.82,93,46,scattered clouds,4.43
344,Sangar,RU,63.9242,127.4739,58.1,90,100,light rain,17.02
345,Pevek,RU,69.7008,170.3133,32.18,96,100,light snow,16.78
346,Mesaria,GR,36.3985,25.4459,75.87,69,0,clear sky,11.5
347,Krasnyy Yar,RU,46.5331,48.3456,78.73,26,22,few clouds,8.46
348,Banda Aceh,ID,5.5577,95.3222,86.0,63,97,overcast clouds,13.4
349,Bull Savanna,JM,17.8868,-77.5902,76.66,82,97,overcast clouds,7.47
350,Balikpapan,ID,-1.2675,116.8289,83.39,79,40,scattered clouds,6.91
351,Najran,SA,17.4924,44.1277,83.05,44,80,broken clouds,6.22
352,Sarmanovo,RU,55.2553,52.5891,79.48,58,48,scattered clouds,4.81
353,Prince George,CA,53.9166,-122.753,62.29,72,0,clear sky,5.75
354,Balaguer,ES,41.7912,0.8109,74.43,58,21,few clouds,3.44
355,Martapura,ID,-3.4167,114.85,89.69,43,20,few clouds,4.61
356,Deputatskiy,RU,69.3,139.9,42.55,97,100,overcast clouds,5.08
357,Zhanaozen,KZ,43.3,52.8,84.43,23,93,overcast clouds,10.16
358,San Quintin,MX,30.4833,-115.95,71.24,85,90,overcast clouds,8.88
359,Da Lat,VN,11.9465,108.4419,63.73,96,100,overcast clouds,3.27
360,Saint-Pierre,RE,-21.3393,55.4781,75.9,63,100,overcast clouds,1.14
361,Mendoza,AR,-32.8908,-68.8272,42.33,75,75,light intensity drizzle,4.61
362,Aykhal,RU,66.0,111.5,48.18,93,100,overcast clouds,7.76
363,Palana,RU,59.1167,159.9667,54.72,72,6,clear sky,11.14
364,Miri,MY,4.4148,114.0089,86.14,79,20,few clouds,4.61
365,Kijang,KR,35.2442,129.2139,92.93,67,25,scattered clouds,16.37
366,Mandan,US,46.8267,-100.8896,60.78,83,100,light rain,1.01
367,Kuah,MY,6.3265,99.8432,87.78,79,40,scattered clouds,4.61
368,Joshimath,IN,30.5667,79.5667,71.49,98,100,overcast clouds,4.27
369,Srednekolymsk,RU,67.45,153.6833,61.07,45,94,overcast clouds,11.39
370,Svetlyy,RU,54.675,20.1347,67.96,73,48,scattered clouds,8.46
371,Praya,CV,14.9215,-23.5087,79.34,94,40,scattered clouds,8.05
372,Beni,CD,0.5,29.4667,62.26,89,42,scattered clouds,1.79
373,Hobyo,SO,5.3505,48.5268,77.95,72,47,scattered clouds,24.49
374,Anapskaya,RU,44.89,37.38,73.63,64,0,clear sky,20.13
375,Mattru,SL,7.6244,-11.8332,72.64,95,100,overcast clouds,2.35
376,Ereymentau,KZ,51.6199,73.1033,75.79,37,50,scattered clouds,8.95
377,Srbinovo,MK,41.7058,20.9603,72.36,47,28,scattered clouds,3.47
378,Qui Nhon,VN,13.7667,109.2333,78.51,87,100,moderate rain,2.13
379,Baruta,VE,10.434,-66.8766,66.04,97,10,clear sky,1.77
380,Harrison,US,30.4091,-89.0436,80.65,91,0,clear sky,5.75
381,San-Pedro,CI,4.7485,-6.6363,71.74,79,23,few clouds,4.0
382,San Juan,AR,-31.5375,-68.5364,47.41,64,80,light rain,11.23
383,Sharlyk,RU,52.9167,54.75,76.15,47,46,scattered clouds,7.72
384,Racoasa,RO,46.0,26.8833,70.95,61,4,clear sky,10.45
385,Sisimiut,GL,66.9395,-53.6735,42.3,93,100,overcast clouds,8.84
386,Bud,US,39.447,-86.1758,77.2,90,0,clear sky,5.7
387,Umm Kaddadah,SD,13.6017,26.6876,76.1,68,66,light rain,12.19
388,Chandvad,IN,20.3333,74.25,77.22,76,100,overcast clouds,6.24
389,Khandyga,RU,62.6667,135.6,59.11,90,100,light rain,1.92
390,Dumas,US,35.8656,-101.9732,81.54,50,0,clear sky,6.91
391,Zhigansk,RU,66.7697,123.3711,54.39,98,100,light rain,5.59
392,Pisco,PE,-13.7,-76.2167,57.25,88,40,scattered clouds,4.61
393,Jawhar,SO,2.7809,45.5005,77.43,63,71,broken clouds,18.23
394,Sur,OM,22.5667,59.5289,89.08,60,27,scattered clouds,3.13
395,Lundamo,NO,63.1333,10.3,48.87,88,100,overcast clouds,3.18
396,Caravelas,BR,-17.7125,-39.2481,67.69,94,6,clear sky,2.46
397,Wainwright,CA,52.839,-110.8572,63.14,64,100,overcast clouds,6.93
398,Lazaro Cardenas,MX,17.9583,-102.2,76.5,87,100,overcast clouds,1.99
399,Belyy Yar,RU,53.6039,91.3903,73.85,41,0,clear sky,4.47
400,Gorontalo,ID,0.5412,123.0595,82.29,77,100,overcast clouds,3.31
401,Shizunai,JP,42.3339,142.3669,70.27,90,96,overcast clouds,11.23
402,Mirnyy,RU,62.5353,113.9611,55.24,66,97,overcast clouds,7.0
403,Bundaberg,AU,-24.85,152.35,72.21,42,0,clear sky,3.0
404,Luanda,AO,-8.8368,13.2343,66.2,88,75,broken clouds,4.61
405,Asyut,EG,27.181,31.1837,82.76,37,15,few clouds,11.72
406,Bambous Virieux,MU,-20.3428,57.7575,75.22,73,40,light rain,11.5
407,Laerdalsoyri,NO,61.098,7.4816,50.94,84,100,overcast clouds,2.39
408,Saldanha,ZA,-33.0117,17.9442,46.45,93,27,scattered clouds,18.88
409,Amapa,BR,1.0,-52.0,67.03,98,57,broken clouds,0.38
410,Magadan,RU,59.5667,150.8,67.53,71,3,clear sky,11.34
411,Dhamrai,BD,23.9202,90.2109,89.58,55,21,few clouds,12.44
412,Lianzhou,CN,24.7811,112.3825,94.26,50,31,scattered clouds,3.87
413,Heihe,CN,50.2441,127.4902,75.78,96,100,moderate rain,4.72
414,Touros,BR,-5.1989,-35.4608,73.09,90,5,clear sky,10.65
415,Avera,US,33.194,-82.5271,73.54,86,31,scattered clouds,4.32
416,Hami,CN,42.8,93.45,98.73,11,91,overcast clouds,14.09
417,Puntarenas,CR,9.9763,-84.8384,74.35,94,100,overcast clouds,3.36
418,La Ronge,CA,55.1001,-105.2842,62.82,63,20,few clouds,8.05
419,Maloy,NO,61.9353,5.1136,51.73,66,100,light rain,13.6
420,Ruthin,GB,53.1137,-3.3178,57.43,92,26,scattered clouds,4.32
421,San Jeronimo,PE,-11.9472,-75.2829,48.18,86,99,overcast clouds,1.83
422,Santiago Del Estero,AR,-27.7951,-64.2615,51.15,62,2,clear sky,6.64
423,Umba,RU,66.6871,34.3429,55.72,83,64,broken clouds,16.91
424,Joniskis,LT,56.2403,23.6153,59.92,69,1,clear sky,6.73
425,Lata,PT,40.1629,-8.3327,60.13,92,0,clear sky,1.79
426,Mackay,AU,-21.15,149.2,75.69,63,98,overcast clouds,15.05
427,Kaspiyskiy,RU,45.3929,47.3707,79.83,48,44,scattered clouds,2.86
428,Beboto,TD,8.2668,16.939,72.39,95,100,overcast clouds,2.17
429,Mercedes,AR,-34.6515,-59.4307,45.86,90,100,overcast clouds,8.28
430,Bol,TD,13.4586,14.7147,80.28,80,100,overcast clouds,12.44
431,Baykit,RU,61.67,96.37,73.74,40,84,broken clouds,12.33
432,Ginda,IN,30.6945,78.4932,66.56,97,100,overcast clouds,2.15
433,Veinticinco De Mayo,AR,-35.4323,-60.1727,42.98,87,100,overcast clouds,1.99
434,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,78.62,45,99,overcast clouds,3.65
435,Acapulco,MX,16.8634,-99.8901,82.22,78,100,overcast clouds,4.61
436,Sibu,MY,2.3,111.8167,88.11,62,20,few clouds,7.0
437,Maceio,BR,-9.6658,-35.7353,71.04,94,75,broken clouds,4.61
438,Campbeltown,GB,55.4258,-5.6076,57.25,90,98,overcast clouds,13.0
439,Barranca,PE,-10.75,-77.7667,61.05,84,99,overcast clouds,8.68
440,Batagay-Alyta,RU,67.8006,130.4114,55.87,77,100,overcast clouds,3.51
441,Itupeva,BR,-23.1531,-47.0578,62.83,82,0,clear sky,10.36
442,Tomatlan,MX,19.9333,-105.25,73.74,95,100,overcast clouds,2.19
443,Byron Bay,AU,-28.65,153.6167,68.94,38,2,clear sky,4.68
444,Palmer,US,42.1584,-72.3287,78.17,80,0,clear sky,6.91
445,Hofn,IS,64.2539,-15.2082,52.5,85,88,overcast clouds,1.83
446,Kapit,MY,2.0167,112.9333,92.89,47,66,broken clouds,2.06
447,Huarmey,PE,-10.0681,-78.1522,61.95,86,76,broken clouds,8.79
448,Hamilton,US,39.1834,-84.5333,75.24,91,0,clear sky,9.22
449,Nyurba,RU,63.2842,118.3319,57.81,60,100,overcast clouds,4.45
450,Tsumeb,NA,-19.2333,17.7167,62.92,32,5,clear sky,4.47
451,Puro,PH,12.4841,123.3827,76.17,92,100,light rain,4.59
452,Guayaramerin,BO,-10.8368,-65.3614,70.81,96,90,overcast clouds,2.08
453,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,78,40,scattered clouds,11.5
454,Doha,QA,25.2867,51.5333,100.71,67,4,clear sky,10.36
455,Bourail,NC,-21.5667,165.4833,74.05,86,64,broken clouds,3.89
456,Mitsamiouli,KM,-11.3847,43.2844,76.12,64,1,clear sky,9.57
457,Alekseyevsk,RU,57.8406,108.3492,53.62,90,100,light rain,11.72
458,Seymchan,RU,62.8833,152.4333,75.63,49,100,overcast clouds,2.77
459,Fort Frances,CA,48.5999,-93.4003,61.02,69,0,clear sky,10.36
460,Gueret,FR,46.1667,1.8667,53.37,53,0,clear sky,3.02
461,Samana,DO,19.2056,-69.3369,78.51,90,97,overcast clouds,9.86
462,Nouadhibou,MR,20.931,-17.0347,73.38,88,75,broken clouds,12.66
463,Kirakira,SB,-10.4544,161.9205,82.69,78,55,broken clouds,10.07
464,Fallon,US,39.4735,-118.7774,76.91,41,0,clear sky,8.05
465,Pitimbu,BR,-7.4706,-34.8086,72.19,86,26,scattered clouds,7.65
466,Pilar,BR,-9.5972,-35.9567,69.73,96,48,scattered clouds,1.14
467,Snezhnogorsk,RU,69.1933,33.2531,60.58,75,90,overcast clouds,12.35
468,Marawi,PH,7.9986,124.2928,73.09,92,99,overcast clouds,1.88
469,Kondagaon,IN,19.6,81.6667,74.79,90,100,moderate rain,5.39
470,Benxi,CN,41.2886,123.765,75.52,98,100,overcast clouds,2.95
471,Rincon,US,32.296,-81.2354,79.86,93,0,clear sky,0.0
472,Pangody,RU,65.85,74.4859,65.68,47,96,overcast clouds,8.7
473,Bonavista,CA,48.6499,-53.1147,61.72,93,67,broken clouds,13.15
474,Makasar,ID,-5.14,119.4221,87.85,58,20,few clouds,5.75
475,Minab,IR,27.1467,57.0801,93.52,66,20,haze,2.3
476,Vao,NC,-22.6667,167.4833,75.0,78,35,scattered clouds,10.29
477,Kristiansund,NO,63.1115,7.732,54.25,76,75,broken clouds,3.44
478,Muros,ES,42.7762,-9.0603,60.67,95,31,scattered clouds,1.92
479,Broome,US,42.2506,-75.833,75.58,92,100,overcast clouds,6.91
480,Coihaique,CL,-45.5752,-72.0662,36.21,69,75,broken clouds,3.44
481,Gubbi,IN,13.3106,76.9444,73.78,82,100,overcast clouds,17.22
482,Bastia,FR,42.6667,9.3333,81.3,71,0,clear sky,3.44
483,Tecoanapa,MX,16.5167,-98.75,79.63,86,91,overcast clouds,3.42
484,Humberto De Campos,BR,-2.5983,-43.4611,74.39,89,25,scattered clouds,5.46
485,Yagodnoye,RU,62.55,149.6667,73.87,44,77,broken clouds,5.88
486,Careiro Da Varzea,BR,-3.2003,-59.8119,81.21,70,53,broken clouds,4.7
487,Daru,PG,-9.0763,143.2092,78.58,90,65,broken clouds,15.39
488,San Patricio,US,28.017,-97.5169,84.88,80,49,scattered clouds,12.66
489,Hirara,JP,24.8,125.2833,89.87,66,20,few clouds,13.8
490,Xuzhou,CN,34.1805,117.1571,97.3,48,71,broken clouds,11.65
491,Goroka,PG,-6.0834,145.3873,72.86,58,100,overcast clouds,3.44
492,Ketchikan,US,55.3422,-131.6461,61.27,88,100,overcast clouds,16.11
493,San Jose,US,37.3394,-121.895,66.58,76,0,clear sky,6.91
494,Kawalu,ID,-7.3817,108.2082,78.84,75,80,broken clouds,5.79
495,Kloulklubed,PW,7.0419,134.2556,75.7,80,62,moderate rain,8.5
496,Saint-Georges,GD,12.0564,-61.7485,79.41,84,3,clear sky,9.19
497,Sokode,TG,8.9833,1.1333,67.68,93,16,few clouds,1.81
498,Barsovo,RU,61.1667,73.1667,71.73,49,81,broken clouds,7.02
499,Bojnurd,IR,37.4747,57.329,76.95,61,75,broken clouds,4.61
500,Wajir,KE,1.7471,40.0573,75.11,56,64,broken clouds,19.26
501,Katsuura,JP,35.1333,140.3,83.5,78,35,scattered clouds,9.51
502,Severo-Kurilsk,RU,50.6789,156.125,56.26,80,100,overcast clouds,5.95
503,Tabou,CI,4.423,-7.3528,72.16,77,12,few clouds,5.21
504,Birganj,NP,27.0104,84.8774,91.98,57,45,scattered clouds,9.19
505,Buta,CD,2.7858,24.73,72.05,95,100,overcast clouds,1.63
506,Kankakee,US,41.15,-87.8667,80.15,92,0,clear sky,4.61
507,General Pico,AR,-35.6566,-63.7568,45.57,76,90,overcast clouds,9.37
508,Oum Hadjer,TD,13.2954,19.6966,77.32,72,100,light rain,9.4
509,Borogontsy,RU,62.6683,131.1683,62.02,71,100,overcast clouds,10.49
510,Zorritos,PE,-3.6805,-80.6782,70.02,79,88,overcast clouds,1.45
511,Grand Gaube,MU,-20.0064,57.6608,75.38,69,7,clear sky,8.99
512,Linqiong,CN,30.4159,103.4609,96.62,62,27,scattered clouds,4.45
513,Burgos,ES,42.3394,-3.7079,61.21,72,0,clear sky,5.75
514,Bogale,MM,16.2833,95.4,78.55,89,100,overcast clouds,14.32
515,Nuevo Progreso,MX,23.1667,-97.95,75.54,69,2,clear sky,4.59
516,Kibaya,TZ,-5.3,36.5667,57.7,68,97,overcast clouds,7.45
517,Neyshabur,IR,36.2133,58.7958,84.45,20,3,clear sky,3.83
518,Kedrovyy,RU,56.1667,91.8167,68.41,37,29,scattered clouds,1.92
519,Bastrop,US,32.7562,-91.8724,76.68,92,25,scattered clouds,5.95
520,Bushehr,IR,28.9684,50.8385,96.89,52,4,haze,4.61
521,Egvekinot,RU,66.3167,-179.1667,48.94,66,96,overcast clouds,2.08
522,Valdivia,CL,-39.8142,-73.2459,42.89,99,100,light rain,3.27
523,Inhambane,MZ,-23.865,35.3833,67.98,94,40,scattered clouds,5.75
524,Dhidhdhoo,MV,6.8833,73.1,80.98,83,65,broken clouds,16.71
525,Ostersund,SE,63.1792,14.6357,50.61,81,75,broken clouds,17.27
526,Puerto Escondido,MX,15.85,-97.0667,78.94,86,98,overcast clouds,3.83
527,Tual,ID,-5.6667,132.75,80.69,80,97,overcast clouds,14.67
528,Flin Flon,CA,54.7682,-101.865,56.48,73,87,overcast clouds,7.74
529,Warrnambool,AU,-38.3833,142.4833,53.06,53,65,broken clouds,7.83
530,Saint-Gaudens,FR,43.0833,0.6667,63.01,80,23,few clouds,3.06
531,Gushikawa,JP,26.3544,127.8686,89.6,69,0,clear sky,8.05
532,Poum,NC,-20.2333,164.0167,75.81,82,5,clear sky,7.56
533,Port Keats,AU,-14.25,129.55,84.92,48,81,broken clouds,10.29
534,Pemberton,CA,50.3164,-122.8027,66.27,59,6,clear sky,2.3
535,Safford,US,32.834,-109.7076,88.72,33,20,few clouds,10.36
536,Mogadishu,SO,2.0371,45.3438,78.67,73,20,few clouds,20.71
537,Mehamn,NO,71.0357,27.8492,49.95,93,100,light rain,17.27
538,Tevaitoa,PF,-16.7833,-151.5,76.89,75,90,overcast clouds,25.79
539,Krasnotorka,UA,48.682,37.5327,83.77,27,5,clear sky,10.94
540,Zheleznodorozhnyy,RU,55.7503,38.0042,77.41,55,11,few clouds,6.93
541,Martaban,MM,16.5314,97.6111,76.24,96,100,overcast clouds,13.62
542,Kalmunai,LK,7.4167,81.8167,89.91,45,96,overcast clouds,4.92
543,Nyaunglebin,MM,17.95,96.7333,75.9,98,94,overcast clouds,10.29
544,Oyama,JP,36.3,139.8,93.58,52,88,overcast clouds,6.42
545,Pushkino,RU,56.0172,37.8667,77.29,61,15,few clouds,7.87
546,Bayan,CN,46.0833,127.4,69.26,95,100,light rain,3.13
547,Halifax,CA,44.6453,-63.5724,67.89,96,76,broken clouds,4.61
548,Samarai,PG,-10.6167,150.6667,81.59,77,7,clear sky,11.56
549,Cherskiy,RU,68.75,161.3,44.29,56,21,few clouds,17.98
550,Mbanza-Ngungu,CD,-5.25,14.8667,63.34,74,35,scattered clouds,7.31
551,Berdigestyakh,RU,62.0989,126.6992,50.9,96,100,light rain,13.69
552,Campbell River,CA,50.0163,-125.2446,69.33,77,40,scattered clouds,8.23
553,Klaksvik,FO,62.2266,-6.589,52.72,88,89,overcast clouds,7.94
554,Zaterechnyy,RU,44.7931,45.2097,80.02,47,8,clear sky,15.88
555,Portland,US,45.5234,-122.6762,80.64,48,0,clear sky,10.36
556,Brownsville,US,25.9018,-97.4975,82.9,81,0,clear sky,5.75
